latitude,longitude,lat-long
43.644766,-79.448733,"43.6467433,-79.446895"
43.644768,-79.397876,"43.643834,-79.396649"
43.6448,-79.448271,"43.643769,-79.447915"
43.644803,-79.399705,"43.6461512,-79.3998214"
43.644822,-79.409477,"43.6422222,-79.41111111111111"
43.644822,-79.409477,"43.645469,-79.411084"
43.64483,-79.399335,"43.644395,-79.40065430000001"
43.644838,-79.385313,"43.6442,-79.38702"
43.644841,-79.416164,"43.6442457,-79.41610440000001"
43.644849,-79.409107,"43.64333333333333,-79.40555555555557"
43.644863,-79.385738,"43.6462176,-79.3855048"
43.644864,-79.398873,"43.645323,-79.395003"
43.644899,-79.368788,"43.64422,-79.36927"
43.644936,-79.398651,"43.6452091,-79.3960744"
43.644936,-79.398651,"43.6425791,-79.40011729999999"
43.644936,-79.398651,"43.643834,-79.396649"
43.64495,-79.381317,"43.646162,-79.378912"
43.644965,-79.368737,"43.6451308,-79.36536439999999"
43.644997,-79.413245,"43.643253094827294,-79.41230469904167"
43.645016,-79.391372,"43.643473,-79.390477"
43.645021,-79.392074,"43.6463574,-79.391206"
43.645025,-79.396655,"43.645323,-79.395003"
43.645057,-79.408902,"43.64534,-79.409597"
43.645088,-79.384185,"43.6458569,-79.3853654"
43.645171,-79.395568,"43.6452091,-79.3960744"
43.645171,-79.395568,"43.645572,-79.39399"
43.645237,-79.448435,"43.6467433,-79.446895"
43.645237,-79.395286,"43.645572,-79.39399"
43.645243,-79.414499,"43.643253094827294,-79.41230469904167"
43.645312,-79.396561,"43.645102,-79.39744979999999"
43.645332,-79.412503,"43.643253094827294,-79.41230469904167"
43.645408,-79.380543,"43.646144,-79.377962"
43.645408,-79.380543,"43.64595,-79.378761"
43.645503,-79.411689,"43.645665,-79.415345"
43.64551,-79.411597,"43.64534,-79.409597"
43.645528,-79.382759,"43.6451635,-79.3831757"
43.645626,-79.393011,"43.645323,-79.395003"
43.645631,-79.393713,"43.643834,-79.396649"
43.645686,-79.446123,"43.646677,-79.442741"
43.64573,-79.430143,"43.6448617,-79.42822"
43.64575,-79.389759,"43.6442,-79.38702"
43.645767,-79.410376,"43.645469,-79.411084"
43.645807,-79.452921,"43.644887,-79.45641169999999"
43.645814,-79.36565,"43.645215,-79.364898"
43.645819,-79.388041,"43.6461,-79.3895"
43.645866,-79.365705,"43.6451308,-79.36536439999999"
43.645885,-79.394081,"43.64407,-79.3929"
43.64591,-79.381371,"43.646734,-79.38301"
43.645946,-79.393249,"43.6463574,-79.391206"
43.646104,-79.39262,"43.645572,-79.39399"
43.646117,-79.408656,"43.64534,-79.409597"
43.64613,-79.408471,"43.646552,-79.406468"
