latitude,longitude,lat-long
43.65486,-79.368629,"43.6535052,-79.3667689"
43.654867,-79.414916,"43.656296,-79.414663"
43.654874,-79.420995,"43.6544915,-79.422634"
43.654877,-79.380787,"43.656311,-79.379158"
43.654877,-79.380787,"43.653264,-79.382458"
43.654884,-79.400799,"43.6537513,-79.4028245"
43.654943,-79.400761,"43.653766,-79.4016759"
43.655019,-79.420346,"43.655,-79.418889"
43.655022,-79.418068,"43.655,-79.418889"
43.655036,-79.38633,"43.6545174,-79.3895315"
43.655164,-79.458539,"43.654501,-79.460053"
43.655168,-79.414637,"43.656296,-79.414663"
43.655182,-79.363397,"43.6552778,-79.36583333333333"
43.655207,-79.340726,"43.657991,-79.340075"
43.655236,-79.458317,"43.654501,-79.460053"
43.655276,-79.383796,"43.656026,-79.385327"
43.655304,-79.379546,"43.657024,-79.377257"
43.655398,-79.467296,"43.65716,-79.46478"
43.655594,-79.399376,"43.654905,-79.398448"
43.655666,-79.384607,"43.656729,-79.382736"
43.655701,-79.357776,"43.656784782853144,-79.35627385059036"
43.655785,-79.3937,"43.6575,-79.39527777777778"
43.655811,-79.465797,"43.6543604,-79.4655296"
43.655848,-79.392163,"43.6578449,-79.3899265"
43.655885,-79.393197,"43.655227,-79.39201"
43.655914,-79.393285,"43.6575,-79.39527777777778"
43.655961,-79.380539,"43.656311,-79.379158"
43.655964,-79.409106,"43.6563888888889,-79.4091666666667"
43.655971,-79.39279,"43.6568254,-79.3966159"
43.655996,-79.454839,"43.657192,-79.452559"
43.656052,-79.434088,"43.6555556,-79.43361111111112"
43.656078,-79.381259,"43.656729,-79.382736"
43.656078,-79.337779,"43.657991,-79.340075"
43.656078,-79.381259,"43.656633,-79.379625"
43.656097,-79.338296,"43.6544839,-79.34105699999999"
43.656146,-79.357052,"43.653809,-79.3595"
43.656158,-79.357661,"43.656638,-79.358749"
43.656233,-79.453895,"43.657192,-79.452559"
43.656234,-79.374458,"43.657266,-79.374756"
