,free_bikes,empty_slots,slots,altitude,ebikes,has_ebikes,normal_bikes,renting,returning,uid,Updated,lat-long
577,14,0,15,0.0,0,True,14,1,1,7686,1824h,"43.6478206,-79.3704721"
578,17,2,19,0.0,0,True,17,1,1,7707,1824h,"43.635495,-79.40352209999999"
579,0,20,20,0.0,0,True,0,1,1,7708,1824h,"43.6868681,-79.3110942"
580,3,12,15,0.0,0,True,3,1,1,7699,1824h,"43.678177,-79.435364"
581,8,15,23,0.0,0,True,8,1,1,7709,1824h,"43.6962302,-79.39504339999999"
582,2,12,15,0.0,0,True,2,1,1,7627,1824h,"43.667076,-79.425116"
583,3,24,27,0.0,0,True,3,1,1,7460,1824h,"43.649217,-79.465319"
584,7,8,15,0.0,0,True,7,1,1,7700,1824h,"43.68005,-79.43469"
585,11,8,19,0.0,0,True,11,1,1,7527,1824h,"43.675648,-79.4527619"
586,0,3,18,0.0,0,True,0,1,1,7710,1824h,"43.6677246,-79.4041365"
587,1,24,26,0.0,1,True,0,1,1,7001,1824h,"43.66496415990742,-79.38355031526893"
588,11,0,12,0.0,0,True,11,1,1,7256,1824h,"43.648437,-79.39838"
589,4,7,12,0.0,0,True,4,1,1,7241,1824h,"43.6663308,-79.3809503"
590,2,29,31,0.0,1,True,1,1,1,7042,1824h,"43.6673,-79.374"
591,22,1,23,0.0,0,True,22,1,1,7202,1824h,"43.6517925,-79.38269509999999"
592,2,16,19,0.0,0,True,2,1,1,7228,1824h,"43.6372958,-79.4423237"
593,2,13,15,0.0,0,True,2,1,1,7711,1824h,"43.6554793,-79.4302462"
594,4,18,22,0.0,0,True,4,1,1,7650,1824h,"43.686352,-79.415894"
595,18,2,20,0.0,0,True,18,1,1,7712,1824h,"43.6442457,-79.41610440000001"
596,4,11,15,0.0,0,True,4,1,1,7679,1824h,"43.7741,-79.5005"
597,0,15,15,0.0,0,True,0,1,1,7640,1824h,"43.683979,-79.410657"
598,15,0,15,0.0,0,True,15,1,1,7260,1824h,"43.6472019,-79.3953394"
599,4,10,15,0.0,0,True,4,1,1,7099,1824h,"43.6513927,-79.35794659999999"
600,1,16,17,0.0,0,True,1,1,1,7453,1824h,"43.6647688,-79.3772602"
601,5,0,23,0.0,0,True,5,1,1,7713,1824h,"43.6506,-79.381285"
