free_bikes,empty_slots,slots,altitude,ebikes,normal_bikes,renting,returning,uid,Updated,name,distance,popularity,open_now,rating,my_timestamp,cat1_id,cat1_name
6,6,15,0.0,0,6,1,1,7107,1824h,Artscape Distillery Studios,183,0.2790199824507906,False,,2022-12-05 11:33:10.804351-05:00,13058.0,Hot Dog Joint
6,6,15,0.0,0,6,1,1,7107,1824h,Corkin Gallery,184,0.8628610189743047,False,,2022-12-05 11:33:10.804358-05:00,13263.0,Japanese Restaurant
6,6,15,0.0,0,6,1,1,7107,1824h,Sniffany & Co,184,0.8775475913399008,False,,2022-12-05 11:33:10.804369-05:00,13034.0,Café
6,6,15,0.0,0,6,1,1,7107,1824h,Blackbird Vintage Finds,209,0.9008469671605752,True,6.1,2022-12-05 11:33:10.804375-05:00,13040.0,Dessert Shop
6,6,15,0.0,0,6,1,1,7107,1824h,Gentil Uomo,188,0.819062673080633,True,,2022-12-05 11:33:10.804386-05:00,17033.0,Department Store
6,6,15,0.0,0,6,1,1,7107,1824h,The Saucy Milliner,189,0.8222302431374502,True,,2022-12-05 11:33:10.804392-05:00,13276.0,Sushi Restaurant
13,1,15,0.0,0,13,1,1,7108,1824h,Dark Horse Espresso Bar,114,0.9787355856893044,True,7.5,2022-12-05 11:33:11.422009-05:00,17065.0,Farmers' Market
13,1,15,0.0,0,13,1,1,7108,1824h,Cities of the Future exhibit at Canary District Presentation Centre,47,0.1190234674001655,False,,2022-12-05 11:33:11.422031-05:00,16037.0,Playground
13,1,15,0.0,0,13,1,1,7108,1824h,Downtown Honda,78,0.9456845747428294,True,,2022-12-05 11:33:11.422037-05:00,17119.0,Bicycle Store
13,1,15,0.0,0,13,1,1,7108,1824h,Acura Downtown,35,,True,,2022-12-05 11:33:11.422042-05:00,13309.0,Middle Eastern Restaurant
13,1,15,0.0,0,13,1,1,7108,1824h,Young Centre for the Performing Arts,216,0.9756675856146269,False,8.6,2022-12-05 11:33:11.422049-05:00,13276.0,Sushi Restaurant
13,1,15,0.0,0,13,1,1,7108,1824h,OpusGlow Concept Spa Toronto,103,0.3617564144849431,False,,2022-12-05 11:33:11.422054-05:00,17018.0,Bookstore
13,1,15,0.0,0,13,1,1,7108,1824h,Bergo Designs,222,0.9459583921937134,True,8.5,2022-12-05 11:33:11.422060-05:00,13059.0,Juice Bar
13,1,15,0.0,0,13,1,1,7108,1824h,Soma Chocolatemaker,230,0.936412120156076,True,8.9,2022-12-05 11:33:11.422066-05:00,13026.0,BBQ Joint
13,1,15,0.0,0,13,1,1,7108,1824h,Assured Downtown Collision,112,0.87232016727757,True,,2022-12-05 11:33:11.422072-05:00,13065.0,Restaurant
13,1,15,0.0,0,13,1,1,7108,1824h,Cluny Bistro,239,0.9740371271570905,True,8.9,2022-12-05 11:33:11.422077-05:00,13236.0,Italian Restaurant
13,1,15,0.0,0,13,1,1,7108,1824h,Archeo Trattoria,239,0.8995463342688763,False,8.6,2022-12-05 11:33:11.422083-05:00,17018.0,Bookstore
13,1,15,0.0,0,13,1,1,7108,1824h,El Catrin Destileria,235,0.9659283967365938,False,8.2,2022-12-05 11:33:11.422089-05:00,13035.0,Coffee Shop
13,1,15,0.0,0,13,1,1,7108,1824h,The Sweet Escape Patisserie,229,0.9354662053257494,True,7.9,2022-12-05 11:33:11.422094-05:00,13263.0,Japanese Restaurant
13,1,15,0.0,0,13,1,1,7108,1824h,TD Bank Financial Group,165,0.881922447430161,True,6.5,2022-12-05 11:33:11.422099-05:00,16030.0,Other Great Outdoors
